Error,Magnitude,Class,Wind,Visibility
SS,Big,No-auto,Low,No
SS,Big,No-auto,Strong,No
MM,Big,No-auto,Low,Yes
LX,Medium,No-auto,Low,Yes
LX,Small,Auto,Low,Yes
LX,Small,Auto,Strong,No
MM,Small,Auto,Strong,Yes
SS,Medium,No-auto,Low,Yes
SS,Small,No-auto,Low,Yes
LX,Medium,Auto,Low,Yes
SS,Medium,Auto,Strong,Yes
MM,Medium,No-auto,Strong,Yes
MM,Big,Auto,Low,Yes
LX,Medium,No-auto,Strong,No
SS,Big,No-auto,Low,No
SS,Big,No-auto,Strong,No
MM,Big,No-auto,Low,Yes
LX,Medium,No-auto,Low,Yes
LX,Small,Auto,Low,Yes
LX,Small,Auto,Strong,No
MM,Small,Auto,Strong,Yes
SS,Medium,No-auto,Low,Yes
SS,Small,No-auto,Low,Yes
LX,Medium,Auto,Low,Yes
SS,Medium,Auto,Strong,Yes
MM,Medium,No-auto,Strong,Yes
MM,Big,Auto,Low,Yes
LX,Medium,No-auto,Strong,No
SS,Big,No-auto,Low,No
SS,Big,No-auto,Strong,No
MM,Big,No-auto,Low,Yes
LX,Medium,No-auto,Low,Yes
LX,Small,Auto,Low,Yes
LX,Small,Auto,Strong,No
MM,Small,Auto,Strong,Yes
SS,Medium,No-auto,Low,Yes
SS,Small,No-auto,Low,Yes
LX,Medium,Auto,Low,Yes
SS,Medium,Auto,Strong,Yes
MM,Medium,No-auto,Strong,Yes
MM,Big,Auto,Low,Yes
LX,Medium,No-auto,Strong,No
LX,Small,Auto,Strong,No
MM,Small,Auto,Strong,Yes
